strain	date	division	PB2	PB1	PA	NP	NA	MP	NS	PB2_letter	PB1_letter	PA_letter	NP_letter	NA_letter	MP_letter	NS_letter	constellation
A/swine/Nebraska/A01847145/2015|04/06/2015|Nebraska	2015-04-06	Nebraska	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A02076179/2015|04/07/2015|Iowa	2015-04-07	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01847174/2015|04/07/2015|Nebraska	2015-04-07	Nebraska	?	?	?	?	classical	pdm	?								?
A/swine/Nebraska/A01847184/2015|04/07/2015|Nebraska	2015-04-07	Nebraska	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A02076180/2015|04/08/2015|North_Carolina	2015-04-08	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01847244/2015|04/09/2015|Nebraska	2015-04-09	Nebraska	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01820364/2015|04/14/2015|Illinois	2015-04-14	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01847805/2015|04/24/2015|Illinois	2015-04-24	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01554902/2015|04/24/2015|Illinois	2015-04-24	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01260882/2015|04/28/2015|Indiana	2015-04-28	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/A02076659/2015|04/29/2015|Iowa	2015-04-29	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A02077505/2015|05/06/2015|North_Carolina	2015-05-06	North Carolina	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Illinois/A02076874/2015|05/07/2015|Illinois	2015-05-07	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A02077538/2015|05/07/2015|Iowa	2015-05-07	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A02076873/2015|05/08/2015|Iowa	2015-05-08	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A02024070/2015|05/15/2015|Illinois	2015-05-15	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01822258/2015|05/19/2015|Nebraska	2015-05-19	Nebraska	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A02024129/2015|05/20/2015|North_Carolina	2015-05-20	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01822499/2015|06/01/2015|Nebraska	2015-06-01	Nebraska	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A02024648/2015|06/03/2015|North_Carolina	2015-06-03	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01822664/2015|06/05/2015|Nebraska	2015-06-05	Nebraska	?	?	?	?	2002A.2	pdm	?								?
A/swine/Minnesota/A01822846/2015|06/08/2015|Minnesota	2015-06-08	Minnesota	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01260918/2015|06/11/2015|Indiana	2015-06-11	Indiana	TRIG	TRIG	TRIG	TRIG	?	pdm	TRIG	T	T	T	T	?	P	T	TTTTPT
A/swine/Illinois/A00843253/2015|06/12/2015|Illinois	2015-06-12	Illinois	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/15TOSU0841/2015|06/25/2015|Indiana	2015-06-25	Indiana	TRIG	TRIG	TRIG	TRIG	?	pdm	TRIG	T	T	T	T	?	P	T	TTTTPT
A/swine/Indiana/15TOSU0844/2015|06/25/2015|Indiana	2015-06-25	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/15TOSU0495/2015|06/25/2015|Indiana	2015-06-25	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/15TOSU0850/2015|06/25/2015|Indiana	2015-06-25	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Minnesota/A01471950/2015|06/29/2015|Minnesota	2015-06-29	Minnesota	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01260926/2015|06/29/2015|Indiana	2015-06-29	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/15TOSU8898/2015|07/01/2015|Indiana	2015-07-01	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/15TOSU8903/2015|07/01/2015|Indiana	2015-07-01	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Nebraska/A01823392/2015|07/07/2015|Nebraska	2015-07-07	Nebraska	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A02034333/2015|07/07/2015|North_Carolina	2015-07-07	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A02025203/2015|07/08/2015|Iowa	2015-07-08	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A02025176/2015|07/08/2015|North_Carolina	2015-07-08	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01823468/2015|07/09/2015|Nebraska	2015-07-09	Nebraska	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/15TOSU0881/2015|07/09/2015|Indiana	2015-07-09	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
